id,outcome,age,X,Y
1,1,38,5.033662204,13.15642848
2,1,34,5.033662204,13.15642848
3,1,38,5.033662204,13.15642848
4,1,29,5.033662204,13.15642848
5,0,26,5.033662204,13.15642848
6,1,30,5.033662204,13.15642848
7,0,26,5.033662204,13.15642848
8,0,28,5.033662204,13.15642848
9,1,28,4.912516454,13.1235289
10,1,38,4.912516454,13.1235289
11,1,27,4.912516454,13.1235289
12,0,31,4.912516454,13.1235289
13,1,34,4.912516454,13.1235289
14,1,25,4.912516454,13.1235289
15,1,32,4.912516454,13.1235289
16,1,26,4.912516454,13.1235289
17,1,35,6.00016749,13.13185049
18,1,38,6.00016749,13.13185049
19,1,35,6.00016749,13.13185049
20,1,38,5.162818807,13.45492851
21,1,24,5.162818807,13.45492851
22,1,40,4.980595419,13.29097857
23,0,27,4.980595419,13.29097857
24,0,24,4.980595419,13.29097857
25,1,26,4.980595419,13.29097857
26,1,33,4.980595419,13.29097857
27,0,35,4.980595419,13.29097857
28,0,31,4.980595419,13.29097857
29,0,28,4.980595419,13.29097857
30,1,32,4.980595419,13.29097857
31,1,24,4.980595419,13.29097857
32,1,36,4.980595419,13.29097857
33,1,34,4.980595419,13.29097857
34,1,32,4.980595419,13.29097857
35,1,31,4.980595419,13.29097857
36,1,37,4.980595419,13.29097857
37,0,30,4.980595419,13.29097857
38,1,33,5.290539237,13.45031375
39,0,27,5.290539237,13.45031375
40,1,36,5.290539237,13.45031375
41,1,39,5.243432219,13.34570793
42,1,38,5.243432219,13.34570793
43,1,35,5.243432219,13.34570793
44,1,31,5.243432219,13.34570793
45,1,36,5.243432219,13.34570793
46,1,33,5.243432219,13.34570793
47,1,40,5.243432219,13.34570793
48,1,30,5.482650006,13.47246843
49,1,37,5.482650006,13.47246843
50,1,28,5.482650006,13.47246843
51,1,29,5.317831385,13.22483095
52,1,40,5.317831385,13.22483095
53,1,32,5.317831385,13.22483095
54,1,33,5.317831385,13.22483095
55,0,35,5.317831385,13.22483095
56,1,35,5.317831385,13.22483095
57,1,38,5.317831385,13.22483095
58,1,29,5.317831385,13.22483095
59,0,34,5.408587007,13.75703547
60,0,32,5.408587007,13.75703547
61,1,36,5.408587007,13.75703547
62,1,34,5.408587007,13.75703547
63,1,38,5.408587007,13.75703547
64,1,34,5.499806235,13.58693868
65,1,34,5.499806235,13.58693868
66,1,34,5.499806235,13.58693868
67,1,35,5.381286794,13.59228285
68,1,36,5.381286794,13.59228285
69,1,29,5.381286794,13.59228285
70,1,31,5.381286794,13.59228285
71,1,37,5.381286794,13.59228285
72,0,36,5.381286794,13.59228285
73,0,36,5.381286794,13.59228285
74,1,30,5.381286794,13.59228285
75,1,31,5.381286794,13.59228285
76,1,31,5.381286794,13.59228285
77,1,27,5.381286794,13.59228285
78,1,33,5.381286794,13.59228285
79,0,30,5.311079887,13.73656393
80,1,31,5.311079887,13.73656393
81,1,33,5.311079887,13.73656393
82,1,36,5.311079887,13.73656393
83,1,33,5.600757002,13.67521759
84,1,28,5.600757002,13.67521759
85,1,31,5.600757002,13.67521759
86,1,35,5.600757002,13.67521759
87,1,35,5.600757002,13.67521759
88,1,31,5.600757002,13.67521759
89,0,33,5.600757002,13.67521759
90,1,36,5.600757002,13.67521759
91,1,36,5.600757002,13.67521759
92,1,27,5.600757002,13.67521759
93,1,39,5.600757002,13.67521759
94,0,26,5.600757002,13.67521759
95,1,33,5.600757002,13.67521759
96,0,28,5.600757002,13.67521759
97,1,37,5.600757002,13.67521759
98,1,30,5.600757002,13.67521759
99,1,29,5.600757002,13.67521759
100,0,30,5.600757002,13.67521759
101,1,35,5.600757002,13.67521759
102,0,28,5.600757002,13.67521759
103,1,31,5.600757002,13.67521759
104,0,25,5.600757002,13.67521759
105,1,28,5.896335037,13.61224945
106,1,33,5.896335037,13.61224945
107,1,33,5.896335037,13.61224945
108,0,27,5.896335037,13.61224945
109,0,27,5.896335037,13.61224945
110,1,32,5.896335037,13.61224945
111,0,35,5.896335037,13.61224945
112,0,30,5.896335037,13.61224945
113,1,32,5.896335037,13.61224945
114,1,31,5.896335037,13.61224945
115,1,26,5.896335037,13.61224945
116,0,39,5.896335037,13.61224945
117,1,36,5.896335037,13.61224945
118,1,28,5.896335037,13.61224945
119,1,33,5.896335037,13.61224945
120,1,34,5.896335037,13.61224945
121,1,24,5.896335037,13.61224945
122,1,32,5.896335037,13.61224945
123,0,31,5.896335037,13.61224945
124,1,27,5.896335037,13.61224945
125,0,27,5.896335037,13.61224945
126,1,32,5.896335037,13.61224945
127,0,30,5.724919753,13.67939189
128,1,29,5.724919753,13.67939189
129,1,32,5.724919753,13.67939189
130,1,38,5.724919753,13.67939189
131,1,30,5.724919753,13.67939189
132,0,29,5.724919753,13.67939189
133,1,36,5.724919753,13.67939189
134,1,35,5.724919753,13.67939189
135,1,33,5.724919753,13.67939189
136,1,34,5.724919753,13.67939189
137,1,28,5.724919753,13.67939189
138,1,37,5.724919753,13.67939189
139,1,36,5.724919753,13.67939189
140,1,29,5.724919753,13.67939189
141,1,33,5.724919753,13.67939189
142,1,39,5.724919753,13.67939189
143,1,38,5.724919753,13.67939189
144,1,36,5.724919753,13.67939189
145,1,36,5.724919753,13.67939189
146,0,28,5.724919753,13.67939189
147,0,28,5.724919753,13.67939189
148,1,32,5.724919753,13.67939189
149,0,29,5.724919753,13.67939189
150,1,32,5.724919753,13.67939189
151,1,34,5.724919753,13.67939189
152,1,36,5.724919753,13.67939189
153,1,26,5.724919753,13.67939189
154,1,27,5.724919753,13.67939189
155,0,28,5.724919753,13.67939189
156,0,25,5.724919753,13.67939189
157,0,26,5.724919753,13.67939189
158,1,27,5.724919753,13.67939189
159,1,28,5.724919753,13.67939189
