id,ser1,age,longitude,latitude,ser2,ser3
1,1,38,5.033662204,13.15642848,0,0
2,1,34,5.033662204,13.15642848,1,1
3,1,38,5.033662204,13.15642848,0,1
4,1,29,5.033662204,13.15642848,0,1
5,0,26,5.033662204,13.15642848,1,0
6,1,30,5.033662204,13.15642848,1,1
7,0,26,5.033662204,13.15642848,0,0
8,0,28,5.033662204,13.15642848,1,1
9,1,28,4.9125164539999995,13.123528899999998,0,1
10,1,38,4.9125164539999995,13.123528899999998,1,0
11,1,27,4.9125164539999995,13.123528899999998,0,1
12,0,31,4.9125164539999995,13.123528899999998,0,0
13,1,34,4.9125164539999995,13.123528899999998,0,1
14,1,25,4.9125164539999995,13.123528899999998,1,0
15,1,32,4.9125164539999995,13.123528899999998,1,0
16,1,26,4.9125164539999995,13.123528899999998,0,1
17,1,35,6.00016749,13.13185049,1,0
18,1,38,6.00016749,13.13185049,1,1
19,1,35,6.00016749,13.13185049,0,1
20,1,38,5.162818807,13.45492851,0,1
21,1,24,5.162818807,13.45492851,0,1
22,1,40,4.980595419,13.29097857,1,0
23,0,27,4.980595419,13.29097857,0,1
24,0,24,4.980595419,13.29097857,1,0
25,1,26,4.980595419,13.29097857,1,0
26,1,33,4.980595419,13.29097857,0,1
27,0,35,4.980595419,13.29097857,1,1
28,0,31,4.980595419,13.29097857,1,0
29,0,28,4.980595419,13.29097857,1,1
30,1,32,4.980595419,13.29097857,0,0
31,1,24,4.980595419,13.29097857,1,0
32,1,36,4.980595419,13.29097857,1,0
33,1,34,4.980595419,13.29097857,1,1
34,1,32,4.980595419,13.29097857,0,0
35,1,31,4.980595419,13.29097857,1,0
36,1,37,4.980595419,13.29097857,1,1
37,0,30,4.980595419,13.29097857,0,0
38,1,33,5.290539237,13.45031375,1,1
39,0,27,5.290539237,13.45031375,1,0
40,1,36,5.290539237,13.45031375,1,0
41,1,39,5.243432219,13.34570793,1,0
42,1,38,5.243432219,13.34570793,1,0
43,1,35,5.243432219,13.34570793,0,1
44,1,31,5.243432219,13.34570793,0,1
45,1,36,5.243432219,13.34570793,0,0
46,1,33,5.243432219,13.34570793,1,0
47,1,40,5.243432219,13.34570793,1,0
48,1,30,5.482650006,13.47246843,0,1
49,1,37,5.482650006,13.47246843,0,1
50,1,28,5.482650006,13.47246843,1,0
51,1,29,5.317831385,13.22483095,1,1
52,1,40,5.317831385,13.22483095,1,0
53,1,32,5.317831385,13.22483095,1,0
54,1,33,5.317831385,13.22483095,0,0
55,0,35,5.317831385,13.22483095,0,1
56,1,35,5.317831385,13.22483095,1,1
57,1,38,5.317831385,13.22483095,1,1
