age,count,sero,rate,rateB,rateC
24,385,134,0.35,0.3,0.52
25,886,243,0.27,0.31,0.51
26,1508,390,0.26,0.33,0.49
27,1912,552,0.29,0.32,0.50
28,2304,888,0.39,0.36,0.51
29,2426,1129,0.47,0.42,0.53
30,2619,1461,0.56,0.47,0.53
31,2621,1709,0.65,0.48,0.55
32,2627,1836,0.70,0.52,0.54
33,2362,1772,0.75,0.54,0.55
34,2424,1888,0.78,0.55,0.53
35,1961,1587,0.81,0.57,0.51
36,2114,1737,0.82,0.58,0.49
37,1839,1575,0.86,0.58,0.47
38,1824,1560,0.86,0.61,0.48
39,1103,960,0.87,0.60,0.43
40,510,460,0.90,0.62,0.4
